1000;3
0.53;0.51;0.66;
0.79;0.37;0.26;
0.95;0.41;0.85;
0.93;0.76;0.48;
0.30;0.56;0.76;
0.86;0.38;0.23;
0.58;0.78;0.90;
0.87;0.43;0.13;
0.73;0.72;0.77;
0.68;0.17;0.57;
0.38;0.28;0.67;
0.58;0.46;0.81;
0.42;0.70;1.00;
0.69;0.92;0.05;
0.01;0.39;0.33;
0.48;0.12;0.89;
0.00;0.11;0.85;
0.21;0.41;0.45;
0.59;0.18;0.35;
0.72;0.73;0.42;
0.10;0.15;0.13;
0.02;0.09;0.96;
0.96;0.93;0.24;
0.12;0.31;0.99;
0.34;0.71;0.28;
0.63;0.53;0.66;
0.33;0.89;0.71;
0.60;0.36;0.89;
0.23;0.57;0.87;
0.27;0.42;0.50;
0.37;0.88;0.31;
0.97;0.38;0.28;
0.38;0.76;0.84;
0.71;0.60;0.57;
0.32;0.95;0.93;
0.86;0.79;0.58;
0.82;0.42;0.38;
0.99;0.17;0.28;
0.05;0.25;0.60;
0.72;0.72;0.81;
0.13;0.76;0.02;
0.52;0.58;0.30;
0.60;0.54;0.17;
0.20;0.37;0.68;
0.52;0.88;0.11;
0.94;0.24;0.85;
0.44;0.10;0.83;
0.18;0.80;0.67;
0.14;0.69;0.41;
0.24;0.95;0.51;
0.34;0.31;0.76;
0.97;0.37;0.91;
0.61;0.41;0.69;
0.02;0.82;0.35;
0.87;0.55;0.78;
0.46;0.23;0.79;
0.87;0.27;0.74;
0.79;0.88;0.31;
0.94;0.62;0.35;
0.23;0.03;0.65;
0.55;0.67;0.59;
0.17;0.07;0.35;
0.58;0.07;0.16;
0.57;0.35;0.60;
0.40;0.25;0.45;
0.59;0.58;0.38;
0.60;0.72;0.91;
0.05;0.12;0.48;
0.25;0.29;0.55;
0.69;0.48;0.36;
0.48;0.68;0.33;
0.21;0.04;0.75;
0.95;0.15;0.74;
0.10;0.45;0.30;
0.82;0.94;0.83;
0.11;0.90;0.36;
0.59;0.71;0.83;
0.60;0.75;0.83;
0.46;0.01;0.80;
0.07;0.55;0.20;
0.54;0.95;0.35;
0.72;0.96;0.88;
0.42;0.77;0.24;
0.05;0.43;0.04;
0.86;0.89;0.73;
0.90;0.33;0.91;
0.94;0.61;0.09;
0.07;0.62;0.38;
0.01;0.56;0.80;
0.16;0.62;0.71;
0.09;0.49;0.42;
0.04;0.61;0.44;
0.21;0.87;0.14;
0.83;0.94;0.95;
0.68;0.99;0.78;
0.15;0.32;0.21;
0.13;0.19;0.67;
0.49;0.49;0.45;
0.57;0.78;0.86;
0.32;0.42;0.95;
0.20;0.27;0.87;
0.62;0.66;0.65;
0.14;0.06;0.56;
0.76;0.19;0.29;
0.51;0.92;0.06;
0.50;0.81;0.43;
0.87;0.31;0.40;
0.04;0.24;0.95;
0.02;0.29;0.12;
0.32;0.47;0.46;
0.06;0.08;0.60;
0.94;0.64;0.46;
0.57;0.04;0.63;
0.91;0.01;0.69;
0.28;0.35;0.52;
0.42;0.13;0.14;
0.13;0.86;0.31;
0.55;0.41;0.44;
0.86;0.42;0.74;
0.82;0.80;0.45;
0.80;0.95;0.47;
0.74;0.05;0.44;
0.03;0.94;0.53;
0.04;0.59;0.29;
0.21;0.84;0.14;
0.36;0.54;0.81;
0.01;0.42;0.20;
0.87;0.23;0.58;
0.00;0.79;0.95;
0.77;0.72;0.60;
0.70;0.08;0.56;
0.94;0.13;0.54;
0.71;0.61;0.59;
0.58;0.52;0.80;
0.72;0.43;0.76;
0.10;0.16;0.45;
0.27;0.04;0.33;
0.88;0.64;0.97;
0.99;0.98;0.28;
0.68;0.63;0.47;
0.52;0.34;0.25;
0.26;0.51;0.69;
0.34;0.78;0.69;
0.35;0.11;0.26;
0.98;0.63;0.49;
0.89;0.86;0.05;
0.28;0.33;0.88;
0.65;0.33;0.46;
0.38;0.71;0.15;
0.17;0.52;0.94;
0.42;0.04;0.92;
0.99;0.14;0.14;
0.91;0.58;0.42;
0.95;0.35;0.70;
0.11;0.25;0.83;
0.21;0.93;0.06;
0.11;0.10;0.03;
0.40;0.67;0.99;
0.30;0.13;0.10;
0.99;0.18;0.59;
0.38;0.96;0.15;
0.69;0.87;0.08;
0.61;0.18;0.30;
0.55;0.25;0.46;
0.84;0.28;0.71;
0.46;0.82;0.99;
0.77;0.96;0.65;
0.99;0.96;0.05;
0.93;0.70;0.17;
0.75;0.85;0.53;
0.34;0.04;0.32;
0.16;0.24;0.28;
0.75;0.23;0.92;
0.65;0.51;0.64;
0.05;0.64;0.86;
0.87;0.63;0.01;
0.07;0.85;0.71;
0.35;0.43;0.47;
0.22;0.33;0.08;
0.45;0.43;0.17;
0.99;0.66;0.87;
0.37;0.34;0.85;
0.11;0.52;0.78;
0.04;0.05;0.28;
0.89;0.85;0.36;
0.98;0.70;0.32;
0.48;0.97;0.89;
0.03;0.04;0.98;
0.90;0.23;0.40;
0.67;0.02;0.89;
0.27;0.63;0.32;
0.30;0.43;0.38;
0.84;0.26;0.85;
0.36;0.81;0.10;
0.75;0.27;0.81;
0.30;0.37;0.62;
0.53;0.70;0.37;
0.40;0.86;0.28;
0.44;0.17;0.76;
0.12;0.68;0.08;
0.79;0.89;0.97;
0.38;0.49;0.22;
0.74;0.94;0.88;
0.77;0.25;0.68;
0.21;0.37;0.73;
0.49;0.43;0.50;
0.36;0.10;0.91;
0.64;0.63;0.59;
0.11;0.29;0.08;
0.61;0.15;0.58;
0.18;0.40;0.41;
0.03;0.53;0.51;
0.69;0.60;0.53;
0.43;0.57;0.52;
0.97;0.24;0.17;
0.69;0.14;0.91;
0.68;0.02;0.52;
0.37;0.61;0.01;
0.91;0.65;0.91;
0.34;0.95;0.42;
0.90;0.33;0.54;
0.94;0.04;0.31;
0.58;0.10;0.52;
0.71;0.69;0.36;
0.79;0.18;0.95;
0.86;0.11;0.67;
0.35;0.39;0.54;
0.29;0.95;0.98;
0.61;0.76;0.46;
0.22;0.48;0.23;
0.43;0.46;0.20;
0.35;0.81;0.30;
0.34;0.15;0.51;
0.57;0.17;0.98;
0.71;0.28;0.11;
0.95;0.20;0.83;
0.42;0.70;0.88;
0.54;0.49;0.75;
0.93;0.63;0.40;
